"","step","state"
"221",221,2
"222",222,2
"223",223,2
"224",224,4
"225",225,1
"226",226,4
"227",227,1
"228",228,2
"229",229,4
"230",230,4
"231",231,3
"232",232,3
"233",233,4
"234",234,1
"235",235,1
"236",236,4
"237",237,3
"238",238,3
"239",239,3
"240",240,1
"241",241,4
"242",242,3
"243",243,4
"244",244,3
"245",245,3
"246",246,4
"247",247,4
"248",248,4
"249",249,3
"250",250,1
"251",251,4
"252",252,4
"253",253,1
"254",254,4
"255",255,1
"256",256,3
"257",257,2
"258",258,1
"259",259,4
"260",260,3
"261",261,3
"262",262,4
"263",263,3
"264",264,4
"265",265,1
"266",266,1
"267",267,3
"268",268,3
"269",269,4
"270",270,3
"271",271,4
"272",272,2
"273",273,4
"274",274,4
"275",275,1
"276",276,1
"277",277,3
"278",278,4
"279",279,1
"280",280,2
"281",281,4
"282",282,4
"283",283,1
"284",284,1
"285",285,4
"286",286,3
"287",287,1
"288",288,4
"289",289,4
"290",290,4
"291",291,1
"292",292,1
"293",293,1
"294",294,2
"295",295,4
"296",296,3
"297",297,1
"298",298,1
"299",299,3
"300",300,2
"301",301,3
"302",302,4
"303",303,2
"304",304,4
"305",305,4
"306",306,1
"307",307,1
"308",308,1
"309",309,3
"310",310,4
"311",311,1
"312",312,1
"313",313,4
"314",314,4
"315",315,4
"316",316,1
"317",317,4
"318",318,4
"319",319,4
"320",320,2
"321",321,4
"322",322,1
"323",323,1
"324",324,1
"325",325,1
"326",326,4
"327",327,4
"328",328,2
"329",329,2
"330",330,1
"331",331,1
"332",332,4
"333",333,4
"334",334,1
"335",335,1
"336",336,1
"337",337,4
"338",338,4
"339",339,3
"340",340,3
"341",341,4
"342",342,4
"343",343,2
"344",344,2
"345",345,4
"346",346,3
"347",347,4
"348",348,4
"349",349,3
"350",350,1
"351",351,4
"352",352,1
"353",353,1
"354",354,2
"355",355,2
"356",356,3
"357",357,3
"358",358,1
"359",359,2
"360",360,4
"361",361,1
"362",362,1
"363",363,4
"364",364,1
"365",365,4
"366",366,3
"367",367,1
"368",368,4
"369",369,3
"370",370,3
"371",371,1
"372",372,3
"373",373,4
"374",374,4
"375",375,1
"376",376,1
"377",377,1
"378",378,1
"379",379,4
"380",380,2
"381",381,4
"382",382,4
"383",383,4
"384",384,2
"385",385,4
"386",386,1
"387",387,4
"388",388,4
"389",389,3
"390",390,4
"391",391,4
"392",392,3
"393",393,3
"394",394,1
"395",395,4
"396",396,4
"397",397,4
"398",398,2
"399",399,1
"400",400,1
"401",401,4
"402",402,1
"403",403,1
"404",404,3
"405",405,4
"406",406,4
"407",407,3
"408",408,2
"409",409,1
"410",410,4
"411",411,4
"412",412,4
"413",413,1
"414",414,1
"415",415,3
"416",416,2
"417",417,3
"418",418,3
"419",419,4
"420",420,4
"421",421,1
"422",422,2
"423",423,2
"424",424,4
"425",425,1
"426",426,4
"427",427,4
"428",428,2
"429",429,1
"430",430,4
"431",431,1
"432",432,4
"433",433,1
"434",434,4
"435",435,1
"436",436,1
"437",437,4
"438",438,1
"439",439,4
"440",440,4
"441",441,2
"442",442,3
"443",443,4
"444",444,4
"445",445,2
"446",446,1
"447",447,4
"448",448,1
"449",449,3
"450",450,4
"451",451,4
"452",452,3
"453",453,1
"454",454,2
"455",455,4
"456",456,3
"457",457,3
"458",458,1
"459",459,4
"460",460,4
"461",461,2
"462",462,4
"463",463,1
"464",464,4
"465",465,2
"466",466,3
"467",467,1
"468",468,4
"469",469,4
"470",470,2
"471",471,1
"472",472,3
"473",473,1
"474",474,4
"475",475,4
"476",476,2
"477",477,4
"478",478,3
"479",479,1
"480",480,4
"481",481,1
"482",482,3
"483",483,2
"484",484,1
"485",485,3
"486",486,3
"487",487,4
"488",488,1
"489",489,1
"490",490,4
"491",491,3
"492",492,4
"493",493,4
"494",494,2
"495",495,1
"496",496,4
"497",497,4
"498",498,3
"499",499,2
"500",500,3
"501",501,3
"502",502,1
"503",503,1
"504",504,1
"505",505,1
"506",506,4
"507",507,3
"508",508,2
"509",509,3
"510",510,2
"511",511,4
"512",512,1
"513",513,2
"514",514,4
"515",515,4
"516",516,1
"517",517,3
"518",518,1
"519",519,4
"520",520,4
"521",521,2
"522",522,1
"523",523,2
"524",524,2
"525",525,2
"526",526,4
"527",527,4
"528",528,1
"529",529,3
"530",530,1
"531",531,4
"532",532,1
"533",533,2
"534",534,1
"535",535,3
"536",536,4
"537",537,3
"538",538,1
"539",539,1
"540",540,1
"541",541,3
"542",542,4
"543",543,1
"544",544,4
"545",545,4
"546",546,3
"547",547,4
"548",548,2
"549",549,1
"550",550,4
"551",551,3
"552",552,2
"553",553,2
"554",554,4
"555",555,1
"556",556,3
"557",557,2
"558",558,4
"559",559,2
"560",560,2
"561",561,3
"562",562,4
"563",563,1
"564",564,3
"565",565,3
"566",566,3
"567",567,4
"568",568,1
"569",569,1
"570",570,3
"571",571,3
"572",572,1
"573",573,4
"574",574,4
"575",575,1
"576",576,3
"577",577,4
"578",578,1
"579",579,4
"580",580,1
"581",581,3
"582",582,3
"583",583,2
"584",584,3
"585",585,3
"586",586,4
"587",587,4
"588",588,2
"589",589,3
"590",590,2
"591",591,1
"592",592,3
"593",593,4
"594",594,1
"595",595,4
"596",596,1
"597",597,3
"598",598,2
"599",599,3
"600",600,1
"601",601,3
"602",602,4
"603",603,3
"604",604,2
"605",605,2
"606",606,1
"607",607,1
"608",608,1
"609",609,3
"610",610,2
"611",611,4
"612",612,4
"613",613,3
"614",614,3
"615",615,4
"616",616,4
"617",617,4
"618",618,1
"619",619,1
"620",620,4
"621",621,4
"622",622,2
"623",623,3
"624",624,2
"625",625,3
"626",626,1
"627",627,4
"628",628,3
"629",629,3
"630",630,4
"631",631,4
"632",632,4
"633",633,2
"634",634,1
"635",635,4
"636",636,1
"637",637,4
"638",638,3
"639",639,1
"640",640,4
"641",641,1
"642",642,4
"643",643,4
"644",644,2
"645",645,4
"646",646,1
"647",647,1
"648",648,3
"649",649,1
"650",650,4
"651",651,1
"652",652,4
"653",653,3
"654",654,1
"655",655,1
"656",656,2
"657",657,4
"658",658,1
"659",659,2
"660",660,1
"661",661,1
"662",662,3
"663",663,3
"664",664,1
"665",665,3
"666",666,3
"667",667,3
"668",668,4
"669",669,1
"670",670,4
"671",671,4
"672",672,4
"673",673,3
"674",674,4
"675",675,3
"676",676,1
"677",677,4
"678",678,3
"679",679,2
"680",680,3
"681",681,4
"682",682,2
"683",683,3
"684",684,4
"685",685,2
"686",686,4
"687",687,1
"688",688,1
"689",689,4
"690",690,1
"691",691,4
"692",692,2
"693",693,4
"694",694,4
"695",695,1
"696",696,4
"697",697,4
"698",698,2
"699",699,3
"700",700,4
"701",701,4
"702",702,2
"703",703,1
"704",704,4
"705",705,4
"706",706,1
"707",707,3
"708",708,4
"709",709,4
"710",710,1
"711",711,2
"712",712,4
"713",713,2
"714",714,1
"715",715,4
"716",716,3
"717",717,1
"718",718,4
"719",719,4
"720",720,2
"721",721,3
"722",722,1
"723",723,4
"724",724,3
"725",725,4
"726",726,2
"727",727,1
"728",728,3
"729",729,3
"730",730,2
"731",731,3
"732",732,4
"733",733,3
"734",734,1
"735",735,1
"736",736,1
"737",737,2
"738",738,2
"739",739,1
"740",740,3
"741",741,1
"742",742,3
"743",743,1
"744",744,4
"745",745,3
"746",746,3
"747",747,4
"748",748,1
"749",749,2
"750",750,1
"751",751,3
"752",752,1
"753",753,4
"754",754,3
"755",755,1
"756",756,4
"757",757,1
"758",758,1
"759",759,1
"760",760,3
"761",761,3
"762",762,2
"763",763,3
"764",764,2
"765",765,4
"766",766,3
"767",767,3
"768",768,1
"769",769,4
"770",770,4
"771",771,1
"772",772,4
"773",773,3
"774",774,1
"775",775,3
"776",776,1
"777",777,1
"778",778,1
"779",779,1
"780",780,1
"781",781,1
"782",782,1
"783",783,4
"784",784,4
"785",785,2
"786",786,4
"787",787,4
"788",788,2
"789",789,4
"790",790,4
"791",791,1
"792",792,1
"793",793,4
"794",794,4
"795",795,1
"796",796,3
"797",797,2
"798",798,4
"799",799,1
"800",800,1
"801",801,1
"802",802,2
"803",803,4
"804",804,4
"805",805,4
"806",806,1
"807",807,3
"808",808,1
"809",809,1
"810",810,4
"811",811,2
"812",812,4
"813",813,3
"814",814,1
"815",815,2
"816",816,1
"817",817,4
"818",818,4
"819",819,4
"820",820,4
"821",821,1
"822",822,1
"823",823,3
"824",824,2
"825",825,4
"826",826,3
"827",827,1
"828",828,4
"829",829,4
"830",830,2
"831",831,1
"832",832,2
"833",833,1
"834",834,2
"835",835,4
"836",836,2
"837",837,4
"838",838,4
"839",839,3
"840",840,1
"841",841,3
"842",842,2
"843",843,3
"844",844,1
"845",845,4
"846",846,2
"847",847,3
"848",848,4
"849",849,2
"850",850,2
"851",851,2
"852",852,4
"853",853,1
"854",854,4
"855",855,4
"856",856,3
"857",857,3
"858",858,4
"859",859,1
"860",860,4
"861",861,4
"862",862,4
"863",863,2
"864",864,3
"865",865,2
"866",866,1
"867",867,1
"868",868,3
"869",869,4
"870",870,1
"871",871,3
"872",872,3
"873",873,1
"874",874,4
"875",875,2
"876",876,2
"877",877,3
"878",878,1
"879",879,4
"880",880,3
"881",881,2
"882",882,4
"883",883,1
"884",884,2
"885",885,4
"886",886,1
"887",887,4
"888",888,4
"889",889,1
"890",890,4
"891",891,2
"892",892,2
"893",893,2
"894",894,4
"895",895,1
"896",896,1
"897",897,4
"898",898,4
"899",899,4
"900",900,4
"901",901,3
"902",902,3
"903",903,4
"904",904,1
"905",905,3
"906",906,4
"907",907,4
"908",908,4
"909",909,1
"910",910,2
"911",911,1
"912",912,3
"913",913,4
"914",914,4
"915",915,4
"916",916,3
"917",917,4
"918",918,1
"919",919,1
"920",920,3
"921",921,1
"922",922,4
"923",923,1
"924",924,1
"925",925,1
"926",926,1
"927",927,4
"928",928,1
"929",929,3
"930",930,1
"931",931,2
"932",932,4
"933",933,1
"934",934,2
"935",935,1
"936",936,1
"937",937,3
"938",938,4
"939",939,1
"940",940,1
"941",941,2
"942",942,2
"943",943,4
"944",944,1
"945",945,4
"946",946,4
"947",947,4
"948",948,4
"949",949,4
"950",950,3
"951",951,2
"952",952,4
"953",953,3
"954",954,3
"955",955,4
"956",956,4
"957",957,1
"958",958,1
"959",959,1
"960",960,4
"961",961,1
"962",962,4
"963",963,1
"964",964,3
"965",965,2
"966",966,4
"967",967,4
"968",968,4
"969",969,2
"970",970,4
"971",971,1
"972",972,1
"973",973,2
"974",974,1
"975",975,4
"976",976,4
"977",977,3
"978",978,1
"979",979,1
"980",980,3
"981",981,1
"982",982,3
"983",983,3
"984",984,2
"985",985,1
"986",986,1
"987",987,2
"988",988,4
"989",989,4
"990",990,3
"991",991,2
"992",992,2
"993",993,2
"994",994,1
"995",995,1
"996",996,1
"997",997,1
"998",998,4
"999",999,1
"1000",1000,1
"1001",1001,3
"1002",1002,3
"1003",1003,1
"1004",1004,2
"1005",1005,3
"1006",1006,3
"1007",1007,4
"1008",1008,3
"1009",1009,3
"1010",1010,1
"1011",1011,4
"1012",1012,1
"1013",1013,4
"1014",1014,4
"1015",1015,1
"1016",1016,4
"1017",1017,1
"1018",1018,4
"1019",1019,4
"1020",1020,1
"1021",1021,1
"1022",1022,2
"1023",1023,1
"1024",1024,1
"1025",1025,3
"1026",1026,1
"1027",1027,2
"1028",1028,2
"1029",1029,3
"1030",1030,2
"1031",1031,2
"1032",1032,4
"1033",1033,2
"1034",1034,4
"1035",1035,4
"1036",1036,1
"1037",1037,4
"1038",1038,4
"1039",1039,4
"1040",1040,2
"1041",1041,4
"1042",1042,4
"1043",1043,4
"1044",1044,1
"1045",1045,3
"1046",1046,3
"1047",1047,3
"1048",1048,4
"1049",1049,4
"1050",1050,2
"1051",1051,3
"1052",1052,3
"1053",1053,3
"1054",1054,3
"1055",1055,3
"1056",1056,4
"1057",1057,3
"1058",1058,3
"1059",1059,4
"1060",1060,2
"1061",1061,2
"1062",1062,3
"1063",1063,3
"1064",1064,3
"1065",1065,4
"1066",1066,3
"1067",1067,3
"1068",1068,4
"1069",1069,4
"1070",1070,3
"1071",1071,3
"1072",1072,1
"1073",1073,2
"1074",1074,4
"1075",1075,4
"1076",1076,1
"1077",1077,4
"1078",1078,2
"1079",1079,4
"1080",1080,3
"1081",1081,1
"1082",1082,4
"1083",1083,4
"1084",1084,2
"1085",1085,2
"1086",1086,1
"1087",1087,3
"1088",1088,4
"1089",1089,4
"1090",1090,2
"1091",1091,2
"1092",1092,3
"1093",1093,2
"1094",1094,2
"1095",1095,1
"1096",1096,4
"1097",1097,1
"1098",1098,2
"1099",1099,4
"1100",1100,3
"1101",1101,4
"1102",1102,1
"1103",1103,4
"1104",1104,1
"1105",1105,1
"1106",1106,4
"1107",1107,4
"1108",1108,1
"1109",1109,2
"1110",1110,4
"1111",1111,4
"1112",1112,2
"1113",1113,1
"1114",1114,3
"1115",1115,1
"1116",1116,3
"1117",1117,4
"1118",1118,4
"1119",1119,1
"1120",1120,3
"1121",1121,2
"1122",1122,4
"1123",1123,3
"1124",1124,2
"1125",1125,2
"1126",1126,3
"1127",1127,1
"1128",1128,1
"1129",1129,4
"1130",1130,1
"1131",1131,4
"1132",1132,4
"1133",1133,3
"1134",1134,1
"1135",1135,2
"1136",1136,3
"1137",1137,3
"1138",1138,4
"1139",1139,1
"1140",1140,2
"1141",1141,1
"1142",1142,1
"1143",1143,1
"1144",1144,1
"1145",1145,2
"1146",1146,4
"1147",1147,4
"1148",1148,3
"1149",1149,1
"1150",1150,4
"1151",1151,1
"1152",1152,4
"1153",1153,4
"1154",1154,2
"1155",1155,1
"1156",1156,2
"1157",1157,2
"1158",1158,4
"1159",1159,1
"1160",1160,4
"1161",1161,4
"1162",1162,4
"1163",1163,4
"1164",1164,4
"1165",1165,3
"1166",1166,4
"1167",1167,2
"1168",1168,1
"1169",1169,1
"1170",1170,3
"1171",1171,4
"1172",1172,2
"1173",1173,4
"1174",1174,4
"1175",1175,4
"1176",1176,3
"1177",1177,4
"1178",1178,1
"1179",1179,1
"1180",1180,1
"1181",1181,4
"1182",1182,3
"1183",1183,1
"1184",1184,1
"1185",1185,1
"1186",1186,1
"1187",1187,4
"1188",1188,2
"1189",1189,4
"1190",1190,1
"1191",1191,2
"1192",1192,4
"1193",1193,2
"1194",1194,4
"1195",1195,3
"1196",1196,4
"1197",1197,4
"1198",1198,4
"1199",1199,2
"1200",1200,2
"1201",1201,1
"1202",1202,4
"1203",1203,3
"1204",1204,2
"1205",1205,3
"1206",1206,1
"1207",1207,4
"1208",1208,4
"1209",1209,3
"1210",1210,4
"1211",1211,1
"1212",1212,3
"1213",1213,1
"1214",1214,4
"1215",1215,3
"1216",1216,4
"1217",1217,3
"1218",1218,3
"1219",1219,4
"1220",1220,3
"1221",1221,3
"1222",1222,3
"1223",1223,3
"1224",1224,4
"1225",1225,2
"1226",1226,3
"1227",1227,3
"1228",1228,1
"1229",1229,1
"1230",1230,4
"1231",1231,1
"1232",1232,1
"1233",1233,1
"1234",1234,3
"1235",1235,4
"1236",1236,1
"1237",1237,1
"1238",1238,3
"1239",1239,3
"1240",1240,3
"1241",1241,3
"1242",1242,3
"1243",1243,2
"1244",1244,4
"1245",1245,1
"1246",1246,3
"1247",1247,2
"1248",1248,4
"1249",1249,4
"1250",1250,4
"1251",1251,4
"1252",1252,3
"1253",1253,3
"1254",1254,3
"1255",1255,4
"1256",1256,4
"1257",1257,3
"1258",1258,3
"1259",1259,1
"1260",1260,4
"1261",1261,3
"1262",1262,4
"1263",1263,4
"1264",1264,1
"1265",1265,1
"1266",1266,1
"1267",1267,4
"1268",1268,1
"1269",1269,1
"1270",1270,3
"1271",1271,3
"1272",1272,1
"1273",1273,2
"1274",1274,3
"1275",1275,4
"1276",1276,4
"1277",1277,4
"1278",1278,4
"1279",1279,2
"1280",1280,1
"1281",1281,2
"1282",1282,3
"1283",1283,4
"1284",1284,4
"1285",1285,4
"1286",1286,1
"1287",1287,4
"1288",1288,4
"1289",1289,1
"1290",1290,1
"1291",1291,4
"1292",1292,4
"1293",1293,4
"1294",1294,4
"1295",1295,4
"1296",1296,1
"1297",1297,2
"1298",1298,4
"1299",1299,3
"1300",1300,1
"1301",1301,1
"1302",1302,4
"1303",1303,4
"1304",1304,4
"1305",1305,3
"1306",1306,2
"1307",1307,4
"1308",1308,4
"1309",1309,1
"1310",1310,1
"1311",1311,3
"1312",1312,4
"1313",1313,4
"1314",1314,4
"1315",1315,3
"1316",1316,1
"1317",1317,4
"1318",1318,4
"1319",1319,3
"1320",1320,1
"1321",1321,4
"1322",1322,1
"1323",1323,3
"1324",1324,3
"1325",1325,4
"1326",1326,1
"1327",1327,4
"1328",1328,3
"1329",1329,2
"1330",1330,1
"1331",1331,3
"1332",1332,3
"1333",1333,4
"1334",1334,1
"1335",1335,4
"1336",1336,4
"1337",1337,1
"1338",1338,3
"1339",1339,4
"1340",1340,3
"1341",1341,4
"1342",1342,1
"1343",1343,3
"1344",1344,4
"1345",1345,4
"1346",1346,4
"1347",1347,4
"1348",1348,2
"1349",1349,3
"1350",1350,3
"1351",1351,4
"1352",1352,4
"1353",1353,4
"1354",1354,1
"1355",1355,1
"1356",1356,4
"1357",1357,1
"1358",1358,4
"1359",1359,1
"1360",1360,2
"1361",1361,4
"1362",1362,4
"1363",1363,4
"1364",1364,1
"1365",1365,4
"1366",1366,1
"1367",1367,2
"1368",1368,2
"1369",1369,2
"1370",1370,1
"1371",1371,3
"1372",1372,2
"1373",1373,1
"1374",1374,1
"1375",1375,3
"1376",1376,1
"1377",1377,3
"1378",1378,4
"1379",1379,3
"1380",1380,4
"1381",1381,3
"1382",1382,4
"1383",1383,4
"1384",1384,4
"1385",1385,4
"1386",1386,3
"1387",1387,3
"1388",1388,3
"1389",1389,4
"1390",1390,1
"1391",1391,3
"1392",1392,4
"1393",1393,1
"1394",1394,3
"1395",1395,2
"1396",1396,4
"1397",1397,2
"1398",1398,2
"1399",1399,3
"1400",1400,3
"1401",1401,1
"1402",1402,1
"1403",1403,4
"1404",1404,3
"1405",1405,3
"1406",1406,3
"1407",1407,1
"1408",1408,2
"1409",1409,4
"1410",1410,4
"1411",1411,4
"1412",1412,2
"1413",1413,1
"1414",1414,3
"1415",1415,3
"1416",1416,4
"1417",1417,2
"1418",1418,1
"1419",1419,1
"1420",1420,4
"1421",1421,2
"1422",1422,2
"1423",1423,4
"1424",1424,3
"1425",1425,3
"1426",1426,3
"1427",1427,4
"1428",1428,4
"1429",1429,1
"1430",1430,4
"1431",1431,3
"1432",1432,2
"1433",1433,2
"1434",1434,1
"1435",1435,4
"1436",1436,2
"1437",1437,3
"1438",1438,4
"1439",1439,1
"1440",1440,2
"1441",1441,4
"1442",1442,4
"1443",1443,1
"1444",1444,3
"1445",1445,1
"1446",1446,1
"1447",1447,3
"1448",1448,4
"1449",1449,3
"1450",1450,1
"1451",1451,1
"1452",1452,4
"1453",1453,4
"1454",1454,1
"1455",1455,4
"1456",1456,3
"1457",1457,4
"1458",1458,1
"1459",1459,2
"1460",1460,4
"1461",1461,4
"1462",1462,4
"1463",1463,4
"1464",1464,4
"1465",1465,1
"1466",1466,4
"1467",1467,2
"1468",1468,3
"1469",1469,1
"1470",1470,3
"1471",1471,2
"1472",1472,2
"1473",1473,4
"1474",1474,3
"1475",1475,4
"1476",1476,1
"1477",1477,4
"1478",1478,4
"1479",1479,4
"1480",1480,3
"1481",1481,1
"1482",1482,3
"1483",1483,1
"1484",1484,4
"1485",1485,1
"1486",1486,3
"1487",1487,2
"1488",1488,1
"1489",1489,3
"1490",1490,4
"1491",1491,1
"1492",1492,4
"1493",1493,1
"1494",1494,1
"1495",1495,2
"1496",1496,2
"1497",1497,2
"1498",1498,4
"1499",1499,3
"1500",1500,1
"1501",1501,2
"1502",1502,3
"1503",1503,4
"1504",1504,1
"1505",1505,4
"1506",1506,4
"1507",1507,3
"1508",1508,4
"1509",1509,4
"1510",1510,4
"1511",1511,4
"1512",1512,1
"1513",1513,2
"1514",1514,4
"1515",1515,4
"1516",1516,4
"1517",1517,1
"1518",1518,2
"1519",1519,1
"1520",1520,3
"1521",1521,1
"1522",1522,1
"1523",1523,2
"1524",1524,1
"1525",1525,1
"1526",1526,1
"1527",1527,1
"1528",1528,4
"1529",1529,2
"1530",1530,4
"1531",1531,2
"1532",1532,3
"1533",1533,4
"1534",1534,4
"1535",1535,1
"1536",1536,1
"1537",1537,2
"1538",1538,1
"1539",1539,2
"1540",1540,4
"1541",1541,4
"1542",1542,4
"1543",1543,4
"1544",1544,4
"1545",1545,1
"1546",1546,2
"1547",1547,3
"1548",1548,1
"1549",1549,4
"1550",1550,4
"1551",1551,1
"1552",1552,2
"1553",1553,1
"1554",1554,3
"1555",1555,2
"1556",1556,1
"1557",1557,4
"1558",1558,3
"1559",1559,3
"1560",1560,1
"1561",1561,2
"1562",1562,4
"1563",1563,4
"1564",1564,4
"1565",1565,4
"1566",1566,1
"1567",1567,3
"1568",1568,2
"1569",1569,1
"1570",1570,3
"1571",1571,2
"1572",1572,3
"1573",1573,3
"1574",1574,1
"1575",1575,1
"1576",1576,4
"1577",1577,2
"1578",1578,4
"1579",1579,2
"1580",1580,3
"1581",1581,1
"1582",1582,2
"1583",1583,4
"1584",1584,2
"1585",1585,4
"1586",1586,2
"1587",1587,1
"1588",1588,1
"1589",1589,4
"1590",1590,1
"1591",1591,4
"1592",1592,4
"1593",1593,1
"1594",1594,3
"1595",1595,1
"1596",1596,1
"1597",1597,3
"1598",1598,1
"1599",1599,4
"1600",1600,4
"1601",1601,2
"1602",1602,4
"1603",1603,4
"1604",1604,4
"1605",1605,4
"1606",1606,3
"1607",1607,4
"1608",1608,4
"1609",1609,2
"1610",1610,4
"1611",1611,4
"1612",1612,3
"1613",1613,1
"1614",1614,2
"1615",1615,2
"1616",1616,2
"1617",1617,4
"1618",1618,3
"1619",1619,3
"1620",1620,4
"1621",1621,2
"1622",1622,4
"1623",1623,4
"1624",1624,1
"1625",1625,3
"1626",1626,4
"1627",1627,4
"1628",1628,4
"1629",1629,2
"1630",1630,4
"1631",1631,1
"1632",1632,3
"1633",1633,4
"1634",1634,4
"1635",1635,1
"1636",1636,3
"1637",1637,1
"1638",1638,3
"1639",1639,3
"1640",1640,2
"1641",1641,3
"1642",1642,1
"1643",1643,2
"1644",1644,4
"1645",1645,4
"1646",1646,1
"1647",1647,1
"1648",1648,1
"1649",1649,4
"1650",1650,4
"1651",1651,1
"1652",1652,3
"1653",1653,4
"1654",1654,1
"1655",1655,3
"1656",1656,3
"1657",1657,4
"1658",1658,1
"1659",1659,1
"1660",1660,1
"1661",1661,3
"1662",1662,4
"1663",1663,1
"1664",1664,2
"1665",1665,1
"1666",1666,3
"1667",1667,3
"1668",1668,4
"1669",1669,1
"1670",1670,3
"1671",1671,4
"1672",1672,3
"1673",1673,3
"1674",1674,2
"1675",1675,2
"1676",1676,1
"1677",1677,1
"1678",1678,1
"1679",1679,2
"1680",1680,3
"1681",1681,4
"1682",1682,3
"1683",1683,2
"1684",1684,4
"1685",1685,3
"1686",1686,4
"1687",1687,1
"1688",1688,2
"1689",1689,1
"1690",1690,2
"1691",1691,1
"1692",1692,4
"1693",1693,4
"1694",1694,1
"1695",1695,1
"1696",1696,3
"1697",1697,1
"1698",1698,1
"1699",1699,4
"1700",1700,1
"1701",1701,2
"1702",1702,4
"1703",1703,1
"1704",1704,3
"1705",1705,4
"1706",1706,1
"1707",1707,4
"1708",1708,3
"1709",1709,1
"1710",1710,2
"1711",1711,3
"1712",1712,1
"1713",1713,2
"1714",1714,4
"1715",1715,2
"1716",1716,4
"1717",1717,1
"1718",1718,4
"1719",1719,1
"1720",1720,1
"1721",1721,4
"1722",1722,3
"1723",1723,4
"1724",1724,3
"1725",1725,4
"1726",1726,3
"1727",1727,1
"1728",1728,4
"1729",1729,3
"1730",1730,3
"1731",1731,1
"1732",1732,1
"1733",1733,4
"1734",1734,4
"1735",1735,3
"1736",1736,1
"1737",1737,4
"1738",1738,1
"1739",1739,1
"1740",1740,3
"1741",1741,4
"1742",1742,1
"1743",1743,1
"1744",1744,3
"1745",1745,4
"1746",1746,2
"1747",1747,1
"1748",1748,1
"1749",1749,1
"1750",1750,3
"1751",1751,3
"1752",1752,4
"1753",1753,3
"1754",1754,4
"1755",1755,1
"1756",1756,4
"1757",1757,4
"1758",1758,3
"1759",1759,2
"1760",1760,4
"1761",1761,4
"1762",1762,4
"1763",1763,1
"1764",1764,4
"1765",1765,4
"1766",1766,4
"1767",1767,3
"1768",1768,2
"1769",1769,4
"1770",1770,1
"1771",1771,2
"1772",1772,1
"1773",1773,1
"1774",1774,4
"1775",1775,2
"1776",1776,1
